,Station,Depth_m,PAR_irradiance_Einm2-d1,PAR0+_Einm2-d1,Ratio_of_under_ice_PAR_to_surface_PAR,Ratio_of_openwater_PAR_to_surface_PAR,IceConcentration_percent,Sampled_under_ice_or_in_open_water
4345,303.0,13.4,6.202205366710773,34.812287999999995,NaN,0.17816138274826332,0.0,OW
4346,303.0,13.6,6.076901301059426,34.812287999999995,NaN,0.17456196217437436,0.0,OW
4347,303.0,13.8,5.9544103345409445,34.812287999999995,NaN,0.171043349249005,0.0,OW
4348,303.0,14.0,5.834704541666403,34.812287999999995,NaN,0.167604741798827,0.0,OW
4349,303.0,14.2,5.717642091780101,34.812287999999995,NaN,0.16424206566888402,0.0,OW
4350,303.0,14.4,5.60300800738547,34.812287999999995,NaN,0.16094914552543835,0.0,OW
4351,303.0,14.6,5.490625017941107,34.812287999999995,NaN,0.15772088918548266,0.0,OW
4352,303.0,14.8,5.38044908660285,34.812287999999995,NaN,0.15455603166912932,0.0,OW
4353,303.0,15.0,5.272521466212114,34.812287999999995,NaN,0.15145575798442534,0.0,OW
4354,303.0,15.2,5.166878400365835,34.812287999999995,NaN,0.14842110924642,0.0,OW
4355,303.0,15.4,5.063534409224525,34.812287999999995,NaN,0.145452502553826,0.0,OW
4356,303.0,15.6,4.962437177313809,34.812287999999995,NaN,0.14254843511905366,0.0,OW
4357,303.0,15.8,4.863478120444972,34.812287999999995,NaN,0.139705787808172,0.0,OW
4358,303.0,16.0,4.7665040980257265,34.812287999999995,NaN,0.13692016158276432,0.0,OW
4359,303.0,16.2,4.671378213139613,34.812287999999995,NaN,0.13418762401194698,0.0,OW
4360,303.0,16.4,4.578026031489767,34.812287999999995,NaN,0.13150603693413565,0.0,OW
4361,303.0,16.6,4.4864176279655,34.812287999999995,NaN,0.12887454073588903,0.0,OW
4362,303.0,16.8,4.39652726500545,34.812287999999995,NaN,0.12629239609316834,0.0,OW
4363,303.0,17.0,4.308359861137938,34.812287999999995,NaN,0.12375974429310532,0.0,OW
4364,303.0,17.2,4.22189303213839,34.812287999999995,NaN,0.12127594233790066,0.0,OW
4365,303.0,17.4,4.137125449863283,34.812287999999995,NaN,0.118840952075982,0.0,OW
4366,303.0,17.6,4.054010387936747,34.812287999999995,NaN,0.116453431269348,0.0,OW
4367,303.0,17.8,3.9724906844624956,34.812287999999995,NaN,0.11411173791456902,0.0,OW
4368,303.0,18.0,3.8925012013461817,34.812287999999995,NaN,0.11181400088802501,0.0,OW
4369,303.0,18.2,3.814001918382823,34.812287999999995,NaN,0.10955907058975334,0.0,OW
4370,303.0,18.4,3.7369871626290485,34.812287999999995,NaN,0.10734678406168101,0.0,OW
4371,303.0,18.6,3.6614782870498246,34.812287999999995,NaN,0.10517775467817068,0.0,OW
4372,303.0,18.8,3.58750655542495,34.812287999999995,NaN,0.10305288050658866,0.0,OW
4373,303.0,19.0,3.515059592242221,34.812287999999995,NaN,0.10097180605429386,0.0,OW
4374,303.0,19.2,3.444104113922457,34.812287999999995,NaN,0.09893357523419481,0.0,OW
4375,303.0,19.4,3.3745946285519692,34.812287999999995,NaN,0.09693688126882007,0.0,OW
4376,303.0,19.6,3.3064927885823265,34.812287999999995,NaN,0.09498062260608459,0.0,OW
4377,303.0,19.8,3.239781600248022,34.812287999999995,NaN,0.09306431109176228,0.0,OW
4378,303.0,20.0,3.174457741382909,34.812287999999995,NaN,0.09118785129500563,0.0,OW
4379,303.0,20.5,3.017218767700808,34.812287999999995,NaN,0.08667108486810199,0.0,OW
4380,303.0,21.0,2.8684234456679594,34.812287999999995,NaN,0.08239686646473683,0.0,OW
4381,303.0,21.5,2.72764965342487,34.812287999999995,NaN,0.0783530704280302,0.0,OW
4382,303.0,22.0,2.594520472748141,34.812287999999995,NaN,0.07452886959765877,0.0,OW
4383,303.0,22.5,2.4684969544140096,34.812287999999995,NaN,0.070908782393562,0.0,OW
4384,303.0,23.0,2.3488402724991997,34.812287999999995,NaN,0.06747158567972321,0.0,OW
4385,303.0,23.5,2.2349129017578546,34.812287999999995,NaN,0.0641989662316322,0.0,OW
4386,303.0,24.0,2.1262484591211526,34.812287999999995,NaN,0.0610775269675223,0.0,OW
4387,303.0,24.5,2.022499578784133,34.812287999999995,NaN,0.0580972896347443,0.0,OW
4388,303.0,25.0,1.9232669840325154,34.812287999999995,NaN,0.055246784814388404,0.0,OW
4389,303.0,25.5,1.8281223885960902,34.812287999999995,NaN,0.052513709773861765,0.0,OW
4390,303.0,26.0,1.7368611969585919,34.812287999999995,NaN,0.04989218740688897,0.0,OW
4391,303.0,26.5,1.6494556639633802,34.812287999999995,NaN,0.04738142072027499,0.0,OW
4392,303.0,27.0,1.565844249098325,34.812287999999995,NaN,0.0449796419327085,0.0,OW
4393,303.0,27.5,1.4858548782983783,34.812287999999995,NaN,0.04268190813250707,0.0,OW
4394,303.0,28.0,1.4092979700963668,34.812287999999995,NaN,0.04048277349929907,0.0,OW
4395,303.0,28.5,1.3359944406761117,34.812287999999995,NaN,0.03837709376287223,0.0,OW
4396,303.0,29.0,1.2657117402355118,34.812287999999995,NaN,0.0363581888164177,0.0,OW
4397,303.0,29.5,1.1981519863832162,34.812287999999995,NaN,0.034417501842545266,0.0,OW
4398,303.0,30.0,1.1329944610781661,34.812287999999995,NaN,0.03254582005865763,0.0,OW
4399,303.0,30.5,1.0698817321062137,34.812287999999995,NaN,0.030732876049578067,0.0,OW
4400,303.0,31.0,1.0084569508156631,34.812287999999995,NaN,0.028968419163246703,0.0,OW
4401,303.0,31.5,0.9484859196522457,34.812287999999995,NaN,0.02724572196036773,0.0,OW
4402,303.0,32.0,0.8899712741238572,34.812287999999995,NaN,0.0255648601471945,0.0,OW
4403,303.0,32.5,0.8331276588623864,34.812287999999995,NaN,0.023931999495763866,0.0,OW
4404,303.0,33.0,0.7782168179359278,34.812287999999995,NaN,0.022354658732454697,0.0,OW
4405,303.0,33.5,0.7254693244866097,34.812287999999995,NaN,0.02083946118355133,0.0,OW
4406,303.0,34.0,0.6751173964285018,34.812287999999995,NaN,0.0193930774222166,0.0,OW
4407,303.0,34.5,0.6274088418842931,34.812287999999995,NaN,0.018022625857981332,0.0,OW
4408,303.0,35.0,0.5825524378873079,34.812287999999995,NaN,0.01673410371324367,0.0,OW
4409,303.0,35.5,0.5405820052349599,34.812287999999995,NaN,0.015528482506951567,0.0,OW
4410,303.0,36.0,0.5013432153376005,34.812287999999995,NaN,0.014401329074883,0.0,OW
4411,303.0,36.5,0.46459307499128205,34.812287999999995,NaN,0.013345663318403034,0.0,OW
4412,303.0,37.0,0.43017121421325444,34.812287999999995,NaN,0.012356878531317866,0.0,OW
