Station,isolume_m_at_0.1_Einm-2d-1,isolume_m_at_0.415_Einm2-d1,IceConcentration_percent,MixedLayerDepth_0.1gkg-1-criterion_m,hBD_m,Nitracline_m,AW-ArW_clustering_coefficient,OWD,PAR_irradiance_at_3m_Einm-2d-1
702.0,NaN,NaN,0.0,28.0,34.15630916686842,NaN,NaN,28.0,NaN
703.0,76.0,53.0,0.0,3.0,18.22277155549457,1.0,0.9926964920717779,20.0,34.59094595520554
704.0,NaN,NaN,0.0,11.0,23.570315288025032,NaN,NaN,16.0,NaN
705.0,NaN,NaN,0.0,17.0,25.942081407855778,0.0,0.9785104552265939,15.0,NaN
707.0,47.5,33.5,0.0,6.0,15.820700175376839,14.0,0.9349842153895053,9.0,25.660454950222142
708.0,NaN,NaN,0.0,3.0,11.519274064629748,4.0,0.975535164354759,7.0,NaN
709.0,NaN,NaN,0.0,2.0,10.130663019700663,NaN,NaN,6.0,NaN
710.0,NaN,NaN,0.0,6.0,11.577492804455993,NaN,NaN,6.0,NaN
711.0,NaN,NaN,0.0,5.0,11.780922839317588,0.0,0.9481352806560696,6.0,NaN
712.0,NaN,NaN,0.0,3.0,12.709633049700251,NaN,NaN,7.0,NaN
713.0,47.0,28.5,0.0,3.0,15.42506705289132,15.0,0.64400849583347,5.0,13.924624517800014
714.0,NaN,NaN,0.0,3.0,11.580022214969752,NaN,NaN,6.0,NaN
715.0,NaN,NaN,0.0,0.0,16.107476126935378,0.0,0.17649315047660513,7.0,NaN
716.0,NaN,NaN,0.0,3.0,14.284549793532472,1.0,0.01710172051196135,3.0,NaN
717.0,NaN,NaN,3.359999895095825,2.0,19.50772852704502,NaN,NaN,2.0,NaN
718.0,NaN,NaN,4.319999694824219,6.0,12.963976333917014,0.0,0.05032493332674019,-1.0,NaN
719.0,44.5,27.5,69.52999877929688,3.0,15.821568130682591,0.0,0.06803439777047217,-5.0,10.6335221416231
